2026-09-18 18:37:28,499 - evaluate - INFO - [sparse] INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED | Total RWA | correct=True | 18.1s
2026-09-18 18:37:29,735 - evaluate - INFO - [sparse] INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED | Common Equity Tier 1 (CET1) ratio | correct=False | 17.7s
2026-09-18 18:37:30,864 - evaluate - INFO - [sparse] HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED (THE) | Minimum leverage ratio requirement | correct=False | 23.8s
2026-09-18 18:37:32,666 - evaluate - INFO - [sparse] INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED | Total capital ratio | correct=False | 18.3s
2026-09-18 18:37:36,906 - evaluate - INFO - [sparse] INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED | Market risk | correct=False | 16.9s
2026-09-18 18:37:38,224 - evaluate - INFO - [sparse] INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED | Operational risk | correct=False | 14.5s
2026-09-18 18:37:41,173 - evaluate - INFO - [sparse] INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED | LMR | correct=False | 25.0s
2026-09-18 18:37:41,173 - evaluate - INFO - [sparse] INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED | Total on-balance sheet exposures (excluding derivative contracts and SFTs) | correct=False | 15.8s
2026-09-18 18:37:45,942 - evaluate - INFO - [sparse] LIVI BANK LIMITED | Tier 1 | correct=True | 15.1s
2026-09-18 18:37:47,524 - evaluate - INFO - [sparse] INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED | Leverage ratio | correct=False | 19.0s
2026-09-18 18:37:50,061 - evaluate - INFO - [sparse] LIVI BANK LIMITED | Total RWA | correct=False | 17.4s
2026-09-18 18:37:51,519 - evaluate - INFO - [sparse] LIVI BANK LIMITED | Common Equity Tier 1 (CET1) ratio | correct=False | 14.6s
2026-09-18 18:37:53,094 - evaluate - INFO - [sparse] INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED | Minimum leverage ratio requirement | correct=False | 23.4s
2026-09-18 18:37:54,046 - evaluate - INFO - [sparse] LIVI BANK LIMITED | Total capital ratio | correct=False | 15.8s
2026-09-18 18:37:55,469 - evaluate - INFO - [sparse] LIVI BANK LIMITED | Market risk | correct=True | 14.3s
2026-09-18 18:37:57,605 - evaluate - INFO - [sparse] LIVI BANK LIMITED | LMR | correct=False | 16.4s
2026-09-18 18:38:00,769 - evaluate - INFO - [sparse] LIVI BANK LIMITED | Operational risk | correct=True | 14.8s
2026-09-18 18:38:01,688 - evaluate - INFO - [sparse] LIVI BANK LIMITED | Total on-balance sheet exposures (excluding derivative contracts and SFTs) | correct=True | 14.2s
2026-09-18 18:38:03,210 - evaluate - INFO - [sparse] LIVI BANK LIMITED | Leverage ratio | correct=False | 13.1s
2026-09-18 18:38:04,377 - evaluate - INFO - [sparse] LIVI BANK LIMITED | Minimum leverage ratio requirement | correct=False | 12.9s
2026-09-18 18:38:06,762 - evaluate - INFO - [sparse] MOX BANK LIMITED | Tier 1 | correct=True | 13.7s
2026-09-18 18:38:08,264 - evaluate - INFO - [sparse] MOX BANK LIMITED | Total RWA | correct=True | 14.2s
2026-09-18 18:38:10,296 - evaluate - INFO - [sparse] MOX BANK LIMITED | Common Equity Tier 1 (CET1) ratio | correct=False | 14.8s
2026-09-18 18:38:12,165 - evaluate - INFO - [sparse] MOX BANK LIMITED | Total capital ratio | correct=False | 14.6s
2026-09-18 18:38:13,456 - evaluate - INFO - [sparse] MOX BANK LIMITED | LMR | correct=False | 12.7s
2026-09-18 18:38:15,547 - evaluate - INFO - [sparse] MOX BANK LIMITED | Market risk | correct=True | 13.9s
2026-09-18 18:38:17,863 - evaluate - INFO - [sparse] MOX BANK LIMITED | Operational risk | correct=True | 14.7s
2026-09-18 18:38:18,868 - evaluate - INFO - [sparse] MOX BANK LIMITED | Total on-balance sheet exposures (excluding derivative contracts and SFTs) | correct=False | 14.5s
2026-09-18 18:38:20,605 - evaluate - INFO - [sparse] MOX BANK LIMITED | Leverage ratio | correct=False | 13.8s
2026-09-18 18:38:24,424 - evaluate - INFO - [sparse] NANYANG COMMERCIAL BANK, LIMITED | Tier 1 | correct=True | 14.1s
2026-09-18 18:38:26,067 - evaluate - INFO - [sparse] NANYANG COMMERCIAL BANK, LIMITED | Total RWA | correct=True | 13.9s
2026-09-18 18:38:27,964 - evaluate - INFO - [sparse] NANYANG COMMERCIAL BANK, LIMITED | Common Equity Tier 1 (CET1) ratio | correct=False | 14.5s
2026-09-18 18:38:29,082 - evaluate - INFO - [sparse] MOX BANK LIMITED | Minimum leverage ratio requirement | correct=False | 20.8s
2026-09-18 18:38:32,320 - evaluate - INFO - [sparse] NANYANG COMMERCIAL BANK, LIMITED | LMR | correct=True | 14.5s
2026-09-18 18:38:34,051 - evaluate - INFO - [sparse] NANYANG COMMERCIAL BANK, LIMITED | Market risk | correct=True | 15.2s
2026-09-18 18:38:36,681 - evaluate - INFO - [sparse] NANYANG COMMERCIAL BANK, LIMITED | Total capital ratio | correct=False | 21.1s
2026-09-18 18:38:36,694 - evaluate - INFO - [sparse] NANYANG COMMERCIAL BANK, LIMITED | Operational risk | correct=True | 16.1s
2026-09-18 18:38:41,006 - evaluate - INFO - [sparse] NANYANG COMMERCIAL BANK, LIMITED | Total on-balance sheet exposures (excluding derivative contracts and SFTs) | correct=True | 16.6s
2026-09-18 18:38:41,499 - evaluate - INFO - [sparse] NANYANG COMMERCIAL BANK, LIMITED | Minimum leverage ratio requirement | correct=False | 13.5s
2026-09-18 18:38:44,892 - evaluate - INFO - [sparse] PAO BANK LIMITED | Tier 1 | correct=True | 15.8s
2026-09-18 18:38:45,340 - evaluate - INFO - [sparse] PAO BANK LIMITED | Total RWA | correct=True | 13.0s
2026-09-18 18:38:47,849 - evaluate - INFO - [sparse] NANYANG COMMERCIAL BANK, LIMITED | Leverage ratio | correct=False | 21.8s
2026-09-18 18:38:48,816 - evaluate - INFO - [sparse] PAO BANK LIMITED | Common Equity Tier 1 (CET1) ratio | correct=True | 14.8s
2026-09-18 18:38:50,342 - evaluate - INFO - [sparse] PAO BANK LIMITED | Total capital ratio | correct=True | 13.7s
2026-09-18 18:38:51,887 - evaluate - INFO - [sparse] PAO BANK LIMITED | LMR | correct=False | 15.2s
